name,lat,lon,dong_info,gu_info
GS25종로방통대점,37.5796652328026,127.004279338208,이화동,종로구
GS25단암,37.5585344055305,126.975417732549,회현동,중구
GS25종로낙원점,37.5722675951357,126.988600880182,종로1.2.3.4가동,종로구
이마트24정독천수점,37.5796729702557,126.982146780356,삼청동,종로구
씨유,37.5916109496458,127.04987697556,회기동,동대문구
세븐일레븐종로관수점,37.5697628648851,126.988986124969,종로1.2.3.4가동,종로구
인더라인북,37.5771257112628,126.909310554509,북가좌1동,서대문구
GS25한남,37.5331737188111,127.005340193519,한남동,용산구
GS２５숭인,37.5737347140471,127.022017599684,숭인2동,종로구
씨유종로,37.5718441869518,126.989234854441,종로1.2.3.4가동,종로구
GS25노량,37.5134098157906,126.942393154896,노량진1동,동작구
씨유마로니에점,37.5784129129708,127.00192453786,이화동,종로구
씨유건대화양점,37.5405051720778,127.070142157977,화양동,광진구
GS25명륜스타,37.5820619530176,127.000418890448,혜화동,종로구
씨유종로5가점,37.5711148716703,127.0,종로1.2.3.4가동,종로구
세븐일레븐종로창성점,37.5814637761056,126.971164718278,청운효자동,종로구
GS25창신사랑,37.5729073723876,127.010640778842,창신2동,종로구
이마트24시대점,37.5737697482142,126.973126063767,사직동,종로구
씨유종로신영점,37.6016343305058,126.961803039912,부암동,종로구
세븐일레븐종로,37.5724119486078,126.990830878968,종로1.2.3.4가동,종로구
GS25평창문화로점,37.6101976096097,126.976669208547,평창동,종로구
씨유종로,37.5726731096038,126.989313974721,종로1.2.3.4가동,종로구
GS25동묘역점,37.5727175471041,127.016085647156,숭인2동,종로구
GS25창신역점,37.5782407164644,127.015543437581,숭인1동,종로구
세븐일레븐종로,37.5723928832441,126.981808921364,종로1.2.3.4가동,종로구
세븐일레븐종로향기점,37.5740681532632,127.02163281265,숭인2동,종로구
GS25종로,37.5758463246053,126.957140881898,무악동,종로구
GS25종로익선,37.5744750499552,126.98878166715,종로1.2.3.4가동,종로구
씨유북한산구기점,37.6090836396982,126.956385662016,평창동,종로구
GS25숭인마사회,37.5734378014208,127.01966294029,숭인2동,종로구
씨유종로숭인점,37.5760422543052,127.015814671451,숭인1동,종로구
씨유종로사직공원점,37.5763456742212,126.969355412359,사직동,종로구
베스트올세종문화회관점,37.5718512829803,126.976171783999,사직동,종로구
씨유종로1가점,37.5708518751644,126.979918911908,종로1.2.3.4가동,종로구
세븐일레븐종로인의점,37.5720699255987,126.999524566268,종로1.2.3.4가동,종로구
지에스25,37.6016592311863,126.9557105367,부암동,종로구
씨유성대원룸촌점,37.5858821268528,126.996988363427,혜화동,종로구
GS25종로,37.5777968762414,126.971766130413,사직동,종로구
세븐일레븐창신점,37.5722132766706,127.013821564228,창신1동,종로구
씨유종각쇼핑,37.5697622502426,126.983677278897,종로1.2.3.4가동,종로구
세븐일레븐종로충신점,37.5743672841697,127.006509114128,종로5.6가동,종로구
씨유종로피아노길점,37.5686362903998,126.985884794151,종로1.2.3.4가동,종로구
씨유광장점,37.5704817726179,126.976183539917,사직동,종로구
세븐일레븐창신우리점,37.574844502002,127.010742936904,창신2동,종로구
세븐일레븐,37.5714389140084,127.008636973247,종로5.6가동,종로구
세븐일레븐종로,37.573578144189,126.964115350057,사직동,종로구
씨유종로부암점,37.5978055131353,126.963039285784,부암동,종로구
씨유성대양현관,37.5899274545218,126.993704659555,혜화동,종로구
씨유종로원서점,37.582809299675,126.989369133454,가회동,종로구
씨유성북보문점,37.5832766474053,127.019722135488,보문동,성북구
씨유방화오피스,37.5632453871594,126.807483465242,방화2동,강서구
지에스25가산,37.4807651927289,126.880675837505,가산동,금천구
GS25신사제일,37.5179807907241,127.022544168338,신사동,관악구
GS25신사제일,37.5179807907241,127.022544168338,신사동,강남구
땡큐편의점,37.5648839662729,127.05756722775,답십리2동,동대문구
세븐일레븐홍대7번,37.5564335269941,126.927703910562,서교동,마포구
GS25잠실잠전점,37.5070784276998,127.083332292292,잠실본동,송파구
지에스25동부시장,37.5907668912773,127.077866077447,면목2동,중랑구
지에스25강서,37.5475861912742,126.837534129973,우장산동,강서구
이마트24번동,37.6404414565851,127.032914278873,번1동,강북구
미니스톱,37.4878803753437,126.854115387098,개봉3동,구로구
이마트24중랑진선미,37.6031576314964,127.074594868903,중화2동,중랑구
지에스25마곡,37.5596141065745,126.837247704328,가양1동,강서구
씨유독산푸르지오,37.4804748734101,126.908771743616,독산3동,금천구
지에스25강남영동점,37.5173587063448,127.024512196279,논현1동,강남구
에스씨유통,37.5989849050627,126.910778787137,신사1동,은평구
세븐탑골공원점주,37.5709972719043,126.989461370107,종로1.2.3.4가동,종로구
세븐평창점주,37.6069694632507,126.965956637131,평창동,종로구
세븐종로３가역점주,37.5724119486078,126.990830878968,종로1.2.3.4가동,종로구
세븐종각점주,37.5690776272032,126.984673535303,종로1.2.3.4가동,종로구
세나코퍼레이션씨유내자주,37.5762382556466,126.972185576712,사직동,종로구
세븐혜화빌딩주,37.5857920644471,127.000600062203,혜화동,종로구
세븐S서대문역점주,37.5658573547392,126.966643170949,충현동,서대문구
세븐S종로3가역점주,37.5711416302632,126.991996964856,종로1.2.3.4가동,종로구
세븐혜화점주,37.5857920644471,127.000600062203,혜화동,종로구
세븐숭인청계천점주,37.5718610451227,127.019753084297,숭인2동,종로구
세븐M종각역점주,37.5704831859283,126.984718525731,종로1.2.3.4가동,종로구
네오영대학로주,37.5832242343978,127.000475504658,혜화동,종로구
세븐동대문점주,37.5714389140084,127.008636973247,종로5.6가동,종로구
세븐가락신가점,37.4989917473798,127.120133466508,가락본동,송파구
